Group,Refs,Qty,Value,Standard MPN,LCSC Part,JLCPCB Class,Default Fit,Footprint,Assembly Type,Cost Decision,Substitution Gate,Order Gate
MCU,U1,1,ESP32-S3 module,ESP32-S3-WROOM-1-N8R8,C2913201,Extended,FIT,WIRELM-SMD_ESP32-S3-WROOM-1,SMT,Keep selected module to avoid redesigning RF and memory assumptions,Only substitute with same ESP32-S3-WROOM-1 footprint and compatible flash/PSRAM variant,Confirm antenna keepout and module orientation before export
Power,U3,1,3.3V LDO,AMS1117-3.3,C6186,Basic,FIT,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,SMT,Basic low-cost 5V to 3V3 regulator for V1,Same SOT-223 AMS1117-compatible 3.3V LDO with same pinout,Check thermal margin if external 5V source is noisy or high load
RS485 Reserve,U2,1,RS485 transceiver,SP3485EN-L/TR,C8963,Basic,DNP,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,SMT,Default DNP to reduce V1 cost and field-bus commitment,3.3V half-duplex SOIC-8 RS485 transceiver with matching pinout,Populate only if RS485 is intentionally enabled
Relay,K1 K2 K3,3,5V relay,SRD-05VDC-SL-C,C35449,Extended,FIT,RELAY-TH_SRD-XXVDC-XL-C,Wave soldering,Use low-cost through-hole relay dry contacts for field compatibility,5V coil relay with same SRD footprint and contact rating,Verify coil current and COM/NO pinout before order
Relay Driver,Q1 Q2 Q3,3,N-MOSFET,AO3400A,C20917,Basic,FIT,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,SMT,Basic logic-level relay driver,Logic-level N-MOSFET SOT-23 Vds >= 30V low Rds(on) at 2.5V same pinout,Check gate/source/drain pinout if substituted
Relay Driver,D1 D2 D3,3,Flyback diode,1N4148W,C81598,Basic,FIT,SOD-123F_L2.7-W1.6-LS3.8-RD,SMT,Basic small flyback clamp for relay coils,SOD-123 or SOD-123F diode with matching footprint and coil-current margin,Verify polarity/orientation in CPL preview
Relay Driver,R1 R2 R3,3,100R gate resistor,0603WAF1000T5E,C22775,Basic,FIT,R0603,SMT,Basic 0603 resistor family,Same value 0603 resistor 1% or 5% Basic preferred,Keep R0603 footprint
Inputs,R4 R5 R6,3,10k pullup,0603WAF1002T5E,C25804,Basic,FIT,R0603,SMT,Basic 0603 resistor family,Same value 0603 resistor 1% or 5% Basic preferred,Keep R0603 footprint
RS485 Reserve,R8,1,120R terminator,0603WAF1200T5E,C22787,Basic,DNP,R0603,SMT,Default DNP so bus termination is not forced,Same value 0603 resistor 1% or 5% Basic preferred,Populate only at an RS485 bus end
USB,R9 R10,2,5.1k CC pulldown,0603WAF5101T5E,C23186,Basic,FIT,R0603,SMT,Basic 0603 resistor family,Same value 0603 resistor 1% or 5% Basic preferred,Keep both CC pulldowns fitted for USB-C device mode
Power Input,J1,1,5.08mm 2P terminal,WJ500V-5.08-2P,C8465,Extended,FIT,CONN-TH_2P-P5.00_WJ500V-5.08-2P,Wave soldering,Use larger 5.08mm terminal for external 5V/GND wiring,Same 5.08mm footprint and outward screw direction,Confirm bottom-edge orientation in PCB3
Relay Output,J2 J3 J4,3,5.08mm 2P terminal,WJ500V-5.08-2P,C8465,Extended,FIT,CONN-TH_2P-P5.00_WJ500V-5.08-2P,Wave soldering,Reuse same terminal as power input to reduce part variety,Same 5.08mm footprint and outward screw direction,Confirm right-edge screw direction before order
RS485 Reserve,J5,1,3.81mm 2P terminal,KF128-3.81-2P,C9900005589,Extended,DNP,CONN-TH_P3.81_KF128L-3.81-2P-1,Wave soldering,Default DNP with RS485 reserve,Same 3.81mm footprint and outward screw direction,Populate only if RS485 is intentionally enabled
Inputs,J6 J7 J8,3,3.81mm 2P terminal,KF128-3.81-2P,C9900005589,Extended,FIT,CONN-TH_P3.81_KF128L-3.81-2P-1,Wave soldering,Use smaller low-voltage terminals for open limit close limit and rain,Same 3.81mm footprint and outward screw direction,Confirm top-edge screw direction before order
USB,J9,1,USB-C receptacle,TYPE-C-31-M-12,C165948,Extended,FIT,USB-C_SMD-TYPE-C-31-M-12_1,SMT,Use native ESP32-S3 USB and avoid USB-UART BOM cost,Only footprint-compatible USB-C receptacle after shell and locator-hole check,Confirm connector faces board edge and D+/D-/CC pins match
Mechanical,MH1 MH2 MH3 MH4,4,M3 NPTH,M3 NPTH,N/A,N/A,Non-BOM,NPTH 3.4mm drill,Fabrication only,Low-cost mounting holes no assembly part,Do not substitute with plated holes unless mechanical stackup changes,Keep screw-head keepout clear
